33
10195536592 30,306861 59,949626 38
6841944680 30,308489 59,949967 11
8515147616 30,309918 59,949584 30
4172126291 30,306405 59,950091 36
1997115874 30,306630 59,949606 38
380338844 30,306798 59,950166 22
6841944681 30,308640 59,950065 17
380338841 30,306981 59,950004 17
1545896589 30,308773 59,949866 32
1843245904 30,308563 59,950094 28
8515147621 30,309847 59,949607 32
1485034033 30,308826 59,950000 29
4172126289 30,306784 59,949630 18
380338846 30,306933 59,950202 15
1843245881 30,307404 59,949600 26
6841957031 30,308588 59,949928 20
3089571425 30,310107 59,949575 36
380338833 30,307121 59,950050 21
8515147614 30,310452 59,949702 19
1997115876 30,306944 59,949611 32
5144166731 30,308950 59,950091 23
1843245887 30,308030 59,949769 20
4172126290 30,306335 59,950079 11
5261277461 30,306772 59,949672 18
1997115875 30,306713 59,949620 26
308167 30,306779 59,949519 32
5144166732 30,309092 59,950035 35
1843245898 30,307619 59,949900 38
4172126292 30,306499 59,950107 31
1843245901 30,308421 59,949998 31
1843245900 30,307293 59,949944 25
5144166737 30,308814 59,949896 13
6841957030 30,308742 59,950029 21
