27
10064970715 30,305856 59,948416 11
10064970708 30,306164 59,948879 18
2303578256 30,303059 59,952297 21
5664877701 30,305998 59,948300 12
5664877710 30,306446 59,948569 24
1843245751 30,305949 59,948371 19
2303514192 30,302568 59,952324 31
1843245784 30,306286 59,948657 37
2282295938 30,302640 59,952393 32
2303578196 30,302620 59,951848 26
11094178158 30,303322 59,951386 30
5664878431 30,306104 59,948256 21
21746294 30,304151 59,950977 16
1843245771 30,306559 59,948521 37
1843245853 30,306926 59,949048 22
2303514169 30,303829 59,951330 23
1843245775 30,306379 59,948619 33
2303514171 30,303544 59,951336 31
2303578200 30,302928 59,951860 12
10064970709 30,305869 59,948703 16
2271726817 30,302730 59,952373 37
1161140206 30,307240 59,948938 20
5664877694 30,306823 59,948779 25
1843245809 30,306918 59,948739 23
10064990038 30,305996 59,948779 30
1843245849 30,307031 59,949017 21
2303578252 30,302988 59,952228 13
