30
2406025643 30,307502 59,929468 36
4174202710 30,300627 59,935162 37
4421253192 30,302195 59,934668 16
2405452115 30,307821 59,929665 16
4421253191 30,302157 59,934699 37
4174202700 30,301095 59,935407 12
1603691775 30,303022 59,934646 39
1605245979 30,301837 59,935578 26
4421253193 30,302476 59,934594 27
4174201124 30,300581 59,935200 34
4421253190 30,302121 59,934729 17
3625611738 30,301719 59,934442 37
4174202692 30,301801 59,935604 29
4174201127 30,300972 59,934883 10
4421253199 30,301642 59,934504 10
2431863967 30,302845 59,934778 15
4174201121 30,301085 59,935415 12
2405452118 30,307804 59,929839 10
4174201122 30,301143 59,935369 33
4421253195 30,302663 59,934435 38
4421253196 30,301574 59,934565 25
2406025648 30,307082 59,929542 37
2405452119 30,307782 59,929873 12
2406025633 30,306642 59,929266 14
4421253198 30,301605 59,934537 26
1603691780 30,302734 59,934871 17
2431863968 30,302772 59,934840 36
4421253194 30,302571 59,934513 30
1598566654 30,303095 59,934564 34
1603691777 30,302910 59,934724 25
