37
11698773872 30,346881 59,949436 22
3607920617 30,342864 59,948891 15
3597324358 30,347317 59,948993 13
6080649440 30,346675 59,949055 18
6080649445 30,346427 59,948786 12
10829598499 30,338766 59,948469 31
1595630448 30,346756 59,948921 24
5998945085 30,346242 59,948708 14
3597324374 30,348729 59,949678 29
3607920622 30,342794 59,949041 15
3597324372 30,347011 59,949454 35
1595630428 30,349162 59,948926 32
11698773871 30,347089 59,949464 31
2557325121 30,348728 59,949735 16
1595630481 30,347094 59,948965 21
3597324364 30,347932 59,949184 27
6080649438 30,346304 59,948984 16
1595630447 30,348685 59,948932 16
1595630450 30,347280 59,948923 15
6080649442 30,346800 59,948846 10
5998942980 30,346235 59,948547 23
3597324362 30,347984 59,949077 11
9705838511 30,348793 59,948931 23
1595776327 30,348608 59,949083 10
1595776329 30,348609 59,949148 10
849683616 30,348905 59,949666 12
6080649444 30,346377 59,948863 23
5998942982 30,346005 59,948186 25
5998942984 30,346132 59,948363 25
1595630436 30,348999 59,948928 23
3597324359 30,348014 59,949012 31
10829598498 30,338896 59,948499 13
9705838510 30,348819 59,949110 24
1595630486 30,348608 59,949017 34
1595630483 30,347249 59,948984 10
2452219529 30,346962 59,949551 19
5998942978 30,346242 59,948757 38
