27
5480922086 30,324823 59,935605 10
11387408888 30,326651 59,933878 13
11546534608 30,325575 59,936029 20
11387408905 30,326907 59,933858 25
1600974983 30,324545 59,935737 38
10617572566 30,325104 59,935731 33
3533352823 30,326277 59,934404 17
11387408906 30,327727 59,933747 22
11387408882 30,326580 59,933737 13
3211620108 30,324109 59,936571 19
3200350807 30,324227 59,936189 13
11387408909 30,327862 59,933974 34
11387408900 30,326986 59,934007 11
11387408910 30,327599 59,933533 11
11387408902 30,327766 59,933813 37
3200350790 30,324160 59,936043 18
11387408899 30,327460 59,933783 20
3200350839 30,324410 59,936614 30
3960183152 30,326364 59,934395 34
3200350836 30,324302 59,936597 16
4280852362 30,321297 59,939845 10
3200350798 30,324724 59,936128 35
1600974982 30,324861 59,935696 36
11387408901 30,327369 59,933868 10
10617572568 30,325097 59,935830 26
4952232170 30,325041 59,936091 31
5610780048 30,325053 59,935738 31
