32
5808194421 30,299384 59,939845 18
5808194363 30,298976 59,940177 22
5808194412 30,299587 59,940176 26
4898059087 30,301907 59,937079 25
6001414968 30,302356 59,937300 37
1836461601 30,299094 59,940267 12
1836461607 30,299061 59,940187 27
5808194413 30,298893 59,939956 37
5808194404 30,299554 59,940166 23
5808194306 30,299239 59,940052 34
5808194415 30,299258 59,939983 23
5808194387 30,299141 59,940608 20
5808194364 30,298936 59,939970 11
5808194391 30,299026 59,940293 25
6001414969 30,302365 59,937294 15
5808194312 30,299196 59,940055 39
1629523062 30,307293 59,932359 21
5808194310 30,299206 59,940077 18
1629523121 30,306335 59,933169 33
6001414978 30,302471 59,937277 20
1629523061 30,307170 59,932333 16
5808194405 30,299109 59,940224 26
1629523119 30,305995 59,933108 36
1836462680 30,299379 59,940343 29
1681646893 30,299131 59,940541 26
6001414979 30,302355 59,937235 26
1836461617 30,299308 59,939999 38
1629523145 30,306434 59,933188 10
1605127264 30,306104 59,933128 16
5808194308 30,299247 59,940071 28
1605127310 30,306158 59,933263 18
6001414959 30,301748 59,937142 26
