27
10948635031 30,336971 59,930388 21
10769747304 30,336881 59,938699 33
10303450882 30,337247 59,939540 39
10769747301 30,337701 59,938416 22
3149577830 30,336784 59,939336 24
7756263666 30,336866 59,931526 34
10948635029 30,337041 59,930536 30
5664012041 30,337567 59,938392 29
8646798058 30,336844 59,931478 37
5097788299 30,337117 59,931497 19
9297728545 30,337043 59,931131 15
4446458869 30,336793 59,935547 15
8646798057 30,337080 59,931410 38
10769747321 30,336799 59,938703 22
10739023482 30,336839 59,939402 38
5097788303 30,337397 59,930342 39
747710752 30,336922 59,935007 20
6706729699 30,337275 59,935225 28
9951048943 30,336713 59,939325 15
3927654636 30,336818 59,935777 37
4549892695 30,337205 59,939602 19
9297728542 30,337549 59,931067 19
10769614530 30,336788 59,938344 23
3682825013 30,336766 59,939516 18
10739023481 30,336802 59,939462 17
4446458868 30,337285 59,935492 23
8646798053 30,337021 59,931207 15
