25
4392818463 30,341934 59,940653 25
2284380517 30,341791 59,939882 22
4392818458 30,341675 59,940623 14
4392818460 30,341575 59,940698 38
2284380533 30,342594 59,940056 20
4392818461 30,341911 59,940700 11
2284407640 30,342365 59,940225 19
2284380522 30,343000 59,939911 17
2284407694 30,342897 59,940728 13
4392818462 30,341780 59,940653 27
3380752210 30,342185 59,940061 30
3660091443 30,302193 59,940319 19
4392818457 30,341057 59,940440 10
2284407680 30,342526 59,940507 25
3380752211 30,342185 59,940004 36
2284407655 30,342520 59,940366 24
5580593442 30,341139 59,940471 12
2912493006 30,342594 59,940222 12
2284380529 30,341592 59,940032 15
2284407687 30,342901 59,940633 37
2284380519 30,341878 59,939910 18
4392818464 30,341780 59,940699 37
4392818459 30,341497 59,940755 32
2284380532 30,341681 59,940060 14
2284380535 30,343013 59,940137 12
