27
1570574394 30,338060 59,933846 22
4108164208 30,337615 59,933279 26
1923984876 30,339122 59,932760 27
5603203898 30,337034 59,933503 32
1923984885 30,338288 59,933190 25
2188557422 30,337928 59,933231 34
1923984894 30,338557 59,933553 33
1711111538 30,342501 59,933296 30
1923984873 30,338677 59,932721 12
2188557424 30,337662 59,932678 32
1711111542 30,340858 59,933431 34
1447263734 30,334744 59,932932 22
1450130926 30,339332 59,933552 22
1711111546 30,342460 59,933223 24
4098111246 30,337852 59,933779 14
1711111535 30,338017 59,933759 29
4693569790 30,339556 59,933027 28
5492330483 30,327754 59,932993 26
5603204880 30,336676 59,933396 39
4098111254 30,336310 59,933441 25
1923995480 30,339279 59,933440 30
5603203878 30,338169 59,933741 33
9757260816 30,339442 59,933039 29
1923984882 30,338186 59,932939 28
1925460488 30,340890 59,933495 28
9757260779 30,338486 59,933631 11
5603204934 30,337249 59,933324 30
