16
10248105996 30,303957 59,926930 26
4606729057 30,305389 59,925553 34
6593575900 30,303595 59,927593 16
1355669750 30,303270 59,927233 13
4606729058 30,305383 59,925444 37
2541607072 30,304659 59,925947 24
10248105999 30,303795 59,926938 20
4059435851 30,303258 59,927285 20
10248105995 30,303647 59,926970 38
2541607051 30,304872 59,925559 26
4059435850 30,303718 59,927265 21
2541607045 30,305522 59,925551 18
1355669751 30,303693 59,927218 38
1355669771 30,303053 59,927601 31
10248106000 30,303786 59,926922 11
2541607038 30,305517 59,925443 24
