15
2418076046 30,316040 59,928200 16
1607526379 30,303286 59,928150 10
4690887579 30,318828 59,928180 19
2418076043 30,315885 59,928164 24
1355518961 30,304236 59,928167 34
4690887578 30,318775 59,928215 15
1470150709 30,303241 59,928199 24
2418076049 30,315846 59,928306 39
2418076050 30,315922 59,928324 27
8301583348 30,318895 59,928206 31
2418076044 30,315962 59,928182 17
8301583349 30,318843 59,928241 18
1355518958 30,304138 59,928145 38
1634103080 30,305167 59,928140 23
1634103088 30,305263 59,928152 29
