21
5498579861 30,329243 59,935201 37
6228369349 30,329606 59,935110 10
5031403367 30,327824 59,936759 20
11080094325 30,321033 59,943217 19
3586510206 30,327433 59,937072 33
3586938588 30,329105 59,935172 17
11080094329 30,321363 59,942944 13
1699434841 30,334760 59,929228 26
6228369350 30,329510 59,935122 22
1600974908 30,329222 59,935158 31
11080094327 30,320674 59,943522 12
1699434839 30,334242 59,929220 24
5498579860 30,329435 59,935178 23
6228369352 30,329318 59,935146 38
5498579858 30,329532 59,935166 17
5498579859 30,329628 59,935154 26
5031403368 30,327324 59,936810 38
1600974926 30,328549 59,935241 30
6228369351 30,329414 59,935134 25
4829438571 30,329339 59,935189 33
3586946530 30,326965 59,937283 34
