34
2413896503 30,320842 59,933292 15
4661097590 30,316253 59,936682 17
2413896566 30,319279 59,934611 34
4661097593 30,316341 59,937134 15
309316818 30,321782 59,931067 20
2413896497 30,320082 59,933122 31
1573813663 30,315027 59,938351 35
2413896526 30,319102 59,933780 14
2413896551 30,319263 59,934420 30
12003591608 30,318694 59,934632 21
2413896550 30,319067 59,934405 14
1776012665 30,322790 59,931688 10
4546901583 30,322012 59,931502 32
2413896517 30,319999 59,933519 17
4004005040 30,319425 59,934580 15
12003591620 30,318761 59,934678 23
2413896579 30,318885 59,934705 14
1776034452 30,320991 59,931667 13
2413999024 30,318948 59,934688 13
7801186376 30,313449 59,939227 24
1776012656 30,322047 59,931471 24
4004005045 30,319697 59,934512 15
1776012671 30,322007 59,931886 33
2413896537 30,319319 59,934109 18
1776034451 30,321092 59,931626 21
4661097589 30,316241 59,936625 20
1776034445 30,321518 59,931517 30
1776012668 30,321582 59,931740 19
1573813702 30,313680 59,938986 29
4546901556 30,322751 59,931721 32
4004005046 30,319626 59,934528 15
2413896543 30,318886 59,934228 25
4004005041 30,319578 59,934746 25
2413896586 30,319506 59,934832 15
