15
4092138212 30,299146 59,942933 23
4418839125 30,307608 59,934538 16
4418839134 30,307457 59,934646 17
4418839135 30,307476 59,934654 11
4092151608 30,299927 59,942165 17
2537529222 30,299026 59,943109 29
4092151602 30,300086 59,942023 13
4418839124 30,308105 59,934211 31
4436428950 30,304128 59,937799 19
4418839132 30,307405 59,934626 20
4418839128 30,307284 59,934746 35
5769961285 30,299091 59,943098 29
4092138214 30,299255 59,942946 36
4092127925 30,298565 59,943519 29
2537529221 30,299174 59,943025 19
