20
1356781131 30,306318 59,928524 33
2506316446 30,308918 59,925880 30
2512673309 30,309536 59,925507 23
1470150722 30,306026 59,928841 29
2512673318 30,309991 59,925807 28
6635534822 30,305234 59,929510 20
6635534824 30,305259 59,929469 27
4421253206 30,300764 59,933972 33
2512673311 30,309401 59,925642 37
2512673310 30,309399 59,925515 37
2505126725 30,309348 59,925850 13
1356961548 30,307205 59,928145 13
1356961551 30,306704 59,928271 15
2512673314 30,309938 59,925698 29
1477908555 30,306008 59,929091 28
1607526396 30,306072 59,928792 24
4421253207 30,300856 59,933896 31
1356961558 30,307673 59,928418 38
4421253205 30,300665 59,934052 15
1356961546 30,307001 59,928089 13
