17
6853033738 30,298522 59,940569 31
5808194370 30,298750 59,940070 28
5808194343 30,297537 59,941178 33
4088197069 30,301826 59,936930 30
6853033735 30,297418 59,940932 11
1836443685 30,298758 59,940424 13
1836461609 30,298933 59,940286 11
10894636446 30,301475 59,936923 19
357154011 30,297908 59,940982 16
5808194376 30,298246 59,940328 15
1836462683 30,298675 59,940130 36
5808194380 30,298878 59,940249 39
6001414953 30,301415 59,937018 29
1681646891 30,298435 59,940322 36
1836461605 30,298895 59,940203 35
4088197072 30,301648 59,937053 25
6853033736 30,297720 59,941024 22
