20
1355669747 30,304803 59,927075 18
2541607109 30,304906 59,926731 26
4546902491 30,304887 59,926690 16
9781285927 30,305365 59,926635 26
3631058861 30,305462 59,926727 12
4059417139 30,305443 59,926538 25
4059435843 30,304828 59,927123 26
2532349862 30,305692 59,926535 25
9781285930 30,305431 59,927047 30
4059435846 30,304212 59,927202 10
1598674182 30,305406 59,926996 21
9010569757 30,303029 59,928388 10
9010569767 30,302686 59,928994 20
4176630698 30,303237 59,929127 21
4176630697 30,303260 59,929094 18
1355669772 30,304953 59,927711 38
4059417138 30,305568 59,926536 22
3631058858 30,305401 59,926669 10
9010569766 30,302710 59,928960 12
4176630699 30,303129 59,929303 33
