19
1603691760 30,299988 59,933849 22
4421253220 30,299346 59,933819 27
4421253209 30,300176 59,933693 30
4176630706 30,304045 59,929266 39
4421253213 30,299645 59,933955 33
4176630705 30,304066 59,929234 22
4421253221 30,298787 59,934371 17
1603691774 30,299805 59,934002 31
2431863966 30,299845 59,933968 35
4176630704 30,303932 59,929452 11
4421253214 30,299685 59,933920 35
4421253227 30,299108 59,933796 26
4421253231 30,299223 59,933700 19
1603691759 30,300084 59,933770 25
2431863965 30,299919 59,933907 11
4421253228 30,299150 59,933761 33
4421253212 30,299061 59,934452 31
4421253219 30,299305 59,933854 34
1470042624 30,304367 59,929018 26
