36
3631662132 30,312309 59,929315 38
2400221293 30,311139 59,929931 38
2399373047 30,312356 59,929636 28
11078100570 30,319621 59,929679 28
2399373051 30,312548 59,929689 12
1587586677 30,314223 59,929793 24
1634103232 30,304664 59,929376 35
3631058875 30,304578 59,929363 31
2405443817 30,311570 59,929440 20
3631662136 30,312067 59,929557 32
2408111010 30,320353 59,929582 13
2408111009 30,320321 59,929570 29
11078100569 30,319517 59,929735 25
8301583368 30,320593 59,929388 15
2408127949 30,317156 59,929426 33
3631757587 30,320175 59,929752 19
2399373042 30,312013 59,929542 39
2408127975 30,318059 59,929727 18
8301583369 30,320625 59,929400 19
2408111013 30,320094 59,929722 26
2399373052 30,312808 59,929760 39
2400221279 30,311365 59,929693 16
1634103219 30,304683 59,929338 12
3631757586 30,320401 59,929600 12
11341893087 30,320672 59,929418 27
2408111014 30,320126 59,929734 38
2400221286 30,311769 59,929790 10
3631058877 30,304747 59,929389 34
2408110004 30,320643 59,929502 22
2406319085 30,312178 59,929293 17
11078100573 30,319039 59,929441 39
2399373045 30,312656 59,929589 24
4565466523 30,317239 59,929453 31
1587586669 30,312252 59,929299 31
2406319089 30,311697 59,929773 31
2408110003 30,320581 59,929479 34
