32
1320550073 30,304030 59,950871 37
2303559283 30,302183 59,952083 36
1320550081 30,304054 59,950964 33
2303514161 30,303424 59,951134 34
4089579761 30,303916 59,951027 37
2303559300 30,302249 59,952145 16
7191161072 30,303890 59,950998 13
2303514162 30,303442 59,951164 38
2303514166 30,303038 59,951257 30
4089579757 30,304113 59,950858 10
1320373046 30,303763 59,950914 27
7191161073 30,303940 59,951057 36
2303559266 30,302140 59,952037 39
1320550086 30,302979 59,951033 12
1320373050 30,302966 59,950924 25
21746295 30,304074 59,950733 38
6968696952 30,303250 59,950835 29
1320373108 30,303034 59,951033 11
1320550092 30,303615 59,951053 37
4089579758 30,303238 59,950797 14
2303559288 30,301063 59,952104 15
2282289379 30,303013 59,951224 26
6968696953 30,303221 59,950745 26
21746297 30,303047 59,951215 20
2303559262 30,302093 59,951987 19
2282295935 30,302364 59,952122 17
1320373074 30,303575 59,950945 18
21746296 30,302996 59,950816 38
1320550070 30,303532 59,950816 26
2303559258 30,301576 59,951977 38
2282295933 30,301707 59,952082 38
10064970716 30,305833 59,948427 39
