18
2082738727 30,342204 59,926099 18
11914857991 30,337527 59,925955 15
2082738728 30,342124 59,926151 23
2512642338 30,308237 59,926184 24
2512806460 30,310234 59,925954 19
2512644471 30,308382 59,925891 33
5646404751 30,337554 59,925896 36
2512806456 30,310217 59,925956 26
11914857990 30,337654 59,926024 19
6075623967 30,310239 59,925979 16
5646404753 30,337518 59,925912 21
6075623966 30,310245 59,925991 30
2512642326 30,308224 59,925894 36
2512644478 30,308400 59,926195 33
10858986289 30,341661 59,925888 33
11560954959 30,341585 59,925937 18
94857612 30,320047 59,925977 13
1021332038 30,337602 59,925923 28
