23
1320898416 30,304310 59,951393 19
7191161074 30,304193 59,950845 12
7191161070 30,304286 59,951080 35
1320898117 30,305974 59,949816 16
9649382209 30,305841 59,949655 12
1395097288 30,304509 59,950766 30
7191161069 30,304120 59,951098 20
1320898324 30,304694 59,950616 36
9649382214 30,305766 59,949629 28
1395097285 30,305819 59,949550 31
4089582419 30,304216 59,951360 14
9649382201 30,305763 59,949653 23
10698475812 30,305804 59,949654 12
1320898413 30,304295 59,951351 34
1320898038 30,305831 59,949470 25
2282289385 30,303553 59,951890 27
1395097292 30,304405 59,951380 35
7191161071 30,304191 59,951091 38
1320898342 30,304480 59,950696 33
10698475813 30,305807 59,949631 17
4331189179 30,306259 59,949202 23
1320898338 30,304714 59,950673 19
2282289389 30,303179 59,951957 14
