28
5148630018 30,306333 59,951971 22
3658662635 30,306552 59,951992 29
1843245863 30,308270 59,949364 11
380338844 30,306798 59,950166 18
2178324200 30,306795 59,950727 29
11040486909 30,305934 59,951785 39
380338841 30,306981 59,950004 30
1997115930 30,306334 59,952038 15
1997115894 30,306546 59,951620 23
380345878 30,306405 59,951000 35
380338846 30,306933 59,950202 33
1843245881 30,307404 59,949600 28
5150835132 30,307697 59,948964 12
380338833 30,307121 59,950050 25
1997115876 30,306944 59,949611 28
1485169331 30,306347 59,951840 32
1843245887 30,308030 59,949769 15
308166 30,306777 59,950932 36
380345874 30,306336 59,951074 27
8515358265 30,307919 59,949449 38
8515358266 30,308021 59,949410 12
1843245898 30,307619 59,949900 37
380749173 30,305952 59,952136 34
1843245872 30,308063 59,949436 13
8515358253 30,307450 59,949065 37
1843245900 30,307293 59,949944 33
380749169 30,305926 59,951814 34
380749166 30,306013 59,951446 14
