21
1356781131 30,306318 59,928524 21
11341872231 30,320522 59,928690 13
9951084180 30,322210 59,928573 13
7410655735 30,321888 59,928671 28
805367259 30,327057 59,928518 35
11341872230 30,320660 59,928605 18
805367239 30,327296 59,928644 21
9951084181 30,322100 59,928641 36
7410655731 30,322277 59,928531 32
10137754270 30,321879 59,928552 39
2277216484 30,321778 59,928627 31
11026138347 30,325623 59,928583 15
11341872232 30,320800 59,928520 16
2277216485 30,321826 59,928647 18
7410655732 30,322037 59,928681 12
2408110994 30,321090 59,928635 21
10137754271 30,321936 59,928576 26
11341872217 30,321305 59,928559 27
11026132492 30,325688 59,928614 13
7410655736 30,321748 59,928615 14
2408110993 30,320208 59,928565 26
