18
7954224772 30,330983 59,925457 35
8009904807 30,345785 59,925470 18
3195514352 30,326449 59,925461 37
4606729058 30,305383 59,925444 18
1385854961 30,315589 59,925444 39
4569042425 30,326398 59,925442 24
8009904752 30,348180 59,925530 38
8009904754 30,348098 59,925542 36
8009904851 30,347584 59,925460 28
8009904698 30,348183 59,925460 17
9533711351 30,345763 59,925457 12
2541607043 30,304619 59,925464 17
2082738720 30,340131 59,925446 36
1583089484 30,326853 59,925477 29
4569042422 30,326904 59,925443 12
3195514353 30,326537 59,925495 26
4606864680 30,307214 59,925442 10
2541607038 30,305517 59,925443 37
