34
8301583346 30,318497 59,928471 11
4690887575 30,318505 59,928394 34
4690887576 30,318660 59,928291 30
1634103116 30,304936 59,928590 33
2418076047 30,318814 59,928261 36
3631058868 30,305153 59,928566 13
4690887574 30,318428 59,928445 21
5728184040 30,304072 59,928450 19
2418085249 30,313145 59,928524 31
5728184041 30,304118 59,928401 20
1634103104 30,305067 59,928554 16
8301583350 30,318729 59,928317 20
1634103098 30,304969 59,928537 27
4690887577 30,318713 59,928256 32
1634103091 30,305187 59,928308 30
5728184046 30,303474 59,928312 27
1828174444 30,304666 59,928587 13
1442796114 30,305615 59,928362 35
2418076056 30,316610 59,928530 22
5728184047 30,303519 59,928264 38
5728184038 30,303906 59,928628 15
1634103094 30,305273 59,928319 22
2418076053 30,318461 59,928495 36
2418085246 30,312792 59,928443 24
2418076048 30,318881 59,928287 26
3631058870 30,304892 59,928639 13
1470150710 30,303954 59,928364 37
8301583347 30,318574 59,928420 15
8301583341 30,318644 59,928373 35
4245554489 30,318575 59,928347 26
1828174443 30,304710 59,928538 35
1356961558 30,307673 59,928418 22
1607526381 30,303999 59,928314 27
8301583351 30,318781 59,928282 16
