38
11672319219 30,344748 59,931718 38
2283466916 30,344447 59,938477 32
2283466917 30,344686 59,938481 13
2284368131 30,344154 59,938472 25
11042741514 30,344241 59,936734 20
6376958175 30,344161 59,939414 37
5181955521 30,344161 59,929603 20
3396003959 30,344362 59,942935 28
2284368166 30,344936 59,939318 18
2912490669 30,344167 59,939511 23
5284630909 30,344756 59,930697 17
5181953719 30,344331 59,929907 37
3396003955 30,344347 59,943178 24
2284368153 30,344909 59,938874 16
2283466906 30,344453 59,938324 18
3635635792 30,344089 59,930443 33
2912492884 30,344200 59,939327 26
3396003965 30,344710 59,943187 39
1287891519 30,344452 59,929886 20
2283466914 30,344201 59,938473 32
3399486107 30,344097 59,944640 14
3635637095 30,344355 59,930832 33
5181953718 30,344737 59,930661 35
1686862572 30,344877 59,938351 14
2283466936 30,344902 59,938768 18
2283466933 30,344896 59,938542 28
10943504983 30,344589 59,935025 36
2283466905 30,344209 59,938313 26
5365811632 30,344507 59,937452 25
2284368174 30,344430 59,939325 24
10943504999 30,344615 59,935096 11
5284630902 30,344332 59,930808 20
2284368134 30,344151 59,938533 17
11042741515 30,344399 59,936345 37
2283466907 30,344700 59,938333 35
2283466919 30,344895 59,938485 18
10943505001 30,344554 59,934933 20
10943504982 30,344541 59,935030 24
