15
812011612 30,313201 59,949295 16
8515147517 30,312302 59,948919 16
10064970701 30,305249 59,948870 18
5150834611 30,309951 59,948965 26
8515147528 30,312100 59,949248 37
812011927 30,312284 59,949111 33
8515147522 30,311566 59,948967 28
10064970702 30,304998 59,948863 24
9846087522 30,313480 59,948920 13
8515147532 30,311485 59,948952 31
1161140206 30,307240 59,948938 32
8515358253 30,307450 59,949065 18
5150835132 30,307697 59,948964 22
1843245849 30,307031 59,949017 38
9846034509 30,313393 59,948904 19
