25
2418085238 30,314545 59,928242 33
3631662096 30,308418 59,928243 30
1587586634 30,309535 59,928417 21
1587586635 30,309706 59,928463 17
2418085237 30,314388 59,928202 24
1512247158 30,310853 59,928168 31
10143008713 30,332559 59,928211 12
3631662097 30,308102 59,928239 33
1512247162 30,309893 59,928193 36
1587586630 30,308203 59,928248 23
2277164883 30,308283 59,928133 35
1512247185 30,309859 59,928321 39
1587451398 30,309487 59,928460 11
2406025625 30,308422 59,928173 17
1587451396 30,308626 59,928228 26
1587451401 30,309660 59,928507 37
1587586632 30,308673 59,928184 10
811045820 30,342791 59,928150 22
2406015441 30,308953 59,928387 16
2406015438 30,309012 59,928332 16
11026138338 30,324575 59,928151 30
1607578320 30,310791 59,928151 16
844847452 30,340872 59,928173 16
2406025628 30,308338 59,928260 10
2277164884 30,308288 59,928255 10
