28
1570574394 30,338060 59,933846 33
8798305672 30,338010 59,935794 33
10769747300 30,337937 59,937803 30
5664011989 30,337976 59,938208 18
5664011991 30,337867 59,937897 11
3149577586 30,337962 59,938584 38
5588329867 30,337776 59,936212 20
3149577592 30,338445 59,938513 31
4552535610 30,338268 59,935763 39
3149577587 30,338254 59,938498 27
1711041054 30,338145 59,935778 32
5664011970 30,337679 59,938155 14
806551058 30,337622 59,934691 34
11324925406 30,337643 59,934463 32
8798305669 30,337745 59,934676 37
11324925404 30,338173 59,934477 13
10769614574 30,337876 59,936649 26
4098111246 30,337852 59,933779 14
4446458849 30,337845 59,935154 10
1711111535 30,338017 59,933759 36
5844008187 30,337814 59,935090 21
8798305668 30,337709 59,935170 30
3149577619 30,337941 59,939112 11
11684857253 30,338201 59,938569 37
3682901708 30,338051 59,935951 24
5588328720 30,338015 59,935884 20
3149577585 30,338037 59,938467 17
8798305667 30,337937 59,935075 29
