21
2423332502 30,312603 59,934883 12
11030454963 30,316281 59,930777 17
2277216508 30,311963 59,935193 15
1617196659 30,312170 59,935280 37
2277270529 30,311944 59,935259 22
2277216509 30,312013 59,935216 36
1617196656 30,311927 59,935177 20
2277270528 30,311896 59,935241 30
2423332500 30,312546 59,934860 21
2407126700 30,312767 59,934223 22
2423332540 30,312657 59,935159 28
1616979519 30,312044 59,935368 19
2423332531 30,312806 59,935063 25
4683728173 30,311962 59,935425 19
2423332522 30,312301 59,935024 36
1617196658 30,312067 59,935242 14
2423332526 30,312360 59,935047 15
11030454967 30,316623 59,930439 20
2277270530 30,312113 59,935320 28
1616979517 30,311861 59,935301 10
2407190257 30,313589 59,933693 29
