30
2413896583 30,322139 59,934808 31
11273609404 30,323261 59,934399 22
4435044220 30,319406 59,937532 19
2413896569 30,323367 59,934609 10
1559410641 30,322755 59,934758 18
2511993172 30,317453 59,939678 37
4435044233 30,318975 59,939696 29
11273609401 30,323299 59,934472 30
2798201449 30,317749 59,939303 34
4435044216 30,319443 59,937377 18
4435044218 30,319324 59,937526 30
10723119136 30,317751 59,939419 17
2413896587 30,322459 59,934916 35
2413896596 30,321623 59,935110 17
4435044205 30,319354 59,937379 17
1587586733 30,323469 59,934790 16
1587586727 30,323076 59,934062 20
2413896604 30,321443 59,935478 12
4435044217 30,319383 59,937378 37
2798201451 30,319055 59,939691 15
2413896610 30,321721 59,935866 35
2413896592 30,322896 59,935007 27
2413896549 30,322852 59,934347 29
2413896608 30,321682 59,935784 13
4435044221 30,319350 59,937528 32
2413896564 30,322944 59,934592 35
1587586729 30,323182 59,934254 18
1916221426 30,317683 59,939713 24
1559410628 30,322500 59,934259 20
7801277242 30,317633 59,939803 30
