23
4606028130 30,301800 59,926698 18
4941538895 30,301422 59,928231 28
1634103164 30,301671 59,928780 16
4059444092 30,301617 59,928807 25
4606028125 30,301792 59,926372 18
1607526372 30,302079 59,927990 24
1573618940 30,301929 59,928335 37
4176539386 30,301342 59,928762 11
4176624182 30,301938 59,928320 13
4059444091 30,301717 59,928788 21
4059444090 30,301636 59,928774 13
1371541821 30,301430 59,925936 32
4606028124 30,301786 59,926154 25
4941538894 30,301501 59,928115 27
1607526377 30,302167 59,928011 32
1371541832 30,301718 59,926154 31
4606028123 30,301780 59,925935 10
4059444089 30,301976 59,928342 30
4176624183 30,301896 59,928313 16
1633767730 30,301653 59,928813 15
1371541809 30,301466 59,925691 37
1371541845 30,301723 59,926373 24
1607526373 30,302123 59,928000 12
