23
11021674004 30,348442 59,936812 11
8009870375 30,348316 59,926114 16
2577269978 30,348413 59,936181 32
9708927327 30,348478 59,944052 31
10180523850 30,348381 59,939006 31
9708925354 30,348416 59,942859 12
9708925353 30,348403 59,942723 23
3390091967 30,348477 59,937613 11
2206311872 30,348499 59,938106 38
966598178 30,348299 59,937616 30
2562956602 30,348419 59,944806 25
2206311876 30,348327 59,938107 39
2197278593 30,348398 59,939234 18
11021714408 30,348252 59,936815 39
10180523848 30,348385 59,939074 17
9708925355 30,348474 59,943946 12
8009870379 30,348333 59,926148 37
2283076608 30,348385 59,944281 25
2575806199 30,348424 59,936425 28
9708925356 30,348493 59,944277 15
332683 30,348335 59,938247 14
1917246938 30,348364 59,943947 25
9708925357 30,348529 59,944805 33
