Size,Graph Edges,Time (s),Memory (MB),Regions,Regions/Optimal,Avg Load
1000,7560,66.461,15,23,1.095,0.913
2000,18730,424.149,33,64,1.143,0.866
5000,37745,1159.138,63,139,1.198,0.83
