Size,Graph Edges,Time (s),Memory (MB),Regions,Regions/Optimal,Avg Load
1000,4549,15.468,8,14,1.167,0.852
2000,11265,90.606,19,46,1.179,0.839
5000,44575,1260.749,72,198,1.165,0.855
