Size,Graph Edges,Time (s),Memory (MB),Regions,Regions/Optimal,Avg Load
1000,3561,13.113,7,15,1.154,0.856
2000,8956,77.924,17,42,1.105,0.902
5000,28409,1140.28,48,122,1.151,0.864
