Size,Graph Edges,Time (s),Memory (MB),Regions,Regions/Optimal,Avg Load
1000,17758,239.406,30,69,1.211,0.821
2000,63623,6264.84,17,271,1.199,0.831
5000,244215,72775.636,66,1084,1.186,0.842
