Size,Graph Edges,Time (s),Memory (MB),Regions,Regions/Optimal,Avg Load
1000,4549,16.562,9,27,1.174,0.847
2000,11265,94.817,20,81,1.141,0.867
5000,44575,1252.06,72,342,1.179,0.847
