Size,Graph Edges,Time (s),Memory (MB),Regions,Regions/Optimal,Avg Load
1000,3561,12.694,7,28,1.167,0.846
2000,8956,76.431,17,84,1.151,0.866
5000,28409,690.182,48,220,1.152,0.867
